band_color,band_material,band_width,case_diameter,case_material,case_thickness,discount,img,item_weight,manufacturer,mrp,num_ratings,pay_on_delivery,rating,returnable,sp,title,warranty
,,,,,,-20%,https://m.media-amazon.com/images/I/41KLe886QbL._SY300_SX300_.jpg,,, ,967 ratings,True, 4.4 ,True,"2,396",Casio Analog Black Dial Men's Watch-MTP-VD01D-1E2VUDF (A1734),
,,,,,,-4%,https://m.media-amazon.com/images/I/41asoxWq+xL._SY300_SX300_.jpg,,, ,286 ratings,True, 4.2 ,True,"2,875",Titan Neo Analog Grey Dial Women's Watch-2648WL01/NR2648WL01,
,,,,,,-40%,https://m.media-amazon.com/images/I/31e3KheHf8L._SY300_SX300_.jpg,,, ,100 ratings,True, 4.0 ,True,"2,106",Timex Analog Black Dial Men's Watch-TWHG35SMU05,
,,,,,,-10%,https://m.media-amazon.com/images/I/41-mfN97vUL._SY300_SX300_.jpg,,,"₹8,725",300 ratings,True, 4.4 ,True,"8,725",Titan Silver White Dial Analog Watch For Men -NR90102SL03,
,,,,,,-79%,https://m.media-amazon.com/images/I/51oldet9suL._SX300_SY300_QL70_FMwebp_.jpg,,, ,"4,972 ratings",True, 3.5 ,True,429,SWISSTYLE Black Chain Chrono Look Analog Watch for Men,
,,,,,,-70%,https://m.media-amazon.com/images/I/41lCyYdNHgL._SY300_SX300_.jpg,,, ,"9,066 ratings",True, 3.8 ,True,239,TIMEWEAR Men's Analog Number Dial Brown Leather Strap Watch,
,,,,,,-25%,https://m.media-amazon.com/images/I/41ZXdQOEvHL._SX300_SY300_QL70_FMwebp_.jpg,,,"₹1,946.25",256 ratings,True, 4.3 ,True,"1,946",Casio Analog Black Dial Men's Watch-MTP-V005D-1B5UDF,
,,,,,,-24%,https://m.media-amazon.com/images/I/41U2O4AWmfL._SY300_SX300_.jpg,,, ,"1,424 ratings",True, 4.2 ,True,"1,256",Fastrack Fundamentals Analog Blue Dial Men's Watch-NN38051SM03/NR38051SM03,
,,,,,,-35%,https://m.media-amazon.com/images/I/51-DHFzI32L._SY300_SX300_.jpg,,, ,"1,653 ratings",True, 4.4 ,True,"8,121",Fossil Grant Sport Analog Blue Dial Men's Watch-FS5237,
,,,,,,-25%,https://m.media-amazon.com/images/I/31IMLodT6VL._SX300_SY300_QL70_FMwebp_.jpg,,,"₹1,796.25",396 ratings,True, 4.3 ,True,"1,796",Casio Analog Blue Dial Men's Watch-MTP-V002D-2B3UDF,
,,,,,,-10%,https://m.media-amazon.com/images/I/31PkSJbWV3L._SY300_SX300_.jpg,,,₹715,"3,476 ratings",True, 4.2 ,True,715,Fastrack Black Dial Analog Watch for Unisex -NR38003PP13W,
,,,,,,-84%,https://m.media-amazon.com/images/I/41mzQ4Bg5hL._SY300_SX300_.jpg,,, ,239 ratings,True, 4.4 ,True,329,Matrix Antique 2.0 Day & Date Softest Silicone Strap Analog Watch for Men & Boys,
